areatype,date,name,code,newAdmissions,cumAdmissions,cumAdmissionsByAge,covidOccupiedMVBeds,hospitalCases
nhsRegion,2020-03-29,London,E40000003,672.0,5356.0,"[{'age': '18_to_64', 'rate': 29.0, 'value': 1696}, {'age': '0_to_5', 'rate': 5.9, 'value': 42}, {'age': '6_to_17', 'rate': 3.1, 'value': 41}, {'age': '85+', 'rate': 383.7, 'value': 585}, {'age': '65_to_84', 'rate': 150.8, 'value': 1427}]",,3464.0
nhsRegion,2020-03-30,London,E40000003,883.0,6239.0,"[{'age': '18_to_64', 'rate': 34.4, 'value': 2017}, {'age': '0_to_5', 'rate': 6.7, 'value': 48}, {'age': '6_to_17', 'rate': 3.5, 'value': 46}, {'age': '85+', 'rate': 452.5, 'value': 690}, {'age': '65_to_84', 'rate': 180.2, 'value': 1705}]",,3638.0
nhsRegion,2020-03-31,London,E40000003,645.0,6884.0,"[{'age': '18_to_64', 'rate': 38.4, 'value': 2251}, {'age': '0_to_5', 'rate': 7.5, 'value': 54}, {'age': '6_to_17', 'rate': 3.6, 'value': 48}, {'age': '85+', 'rate': 497.1, 'value': 758}, {'age': '65_to_84', 'rate': 201.8, 'value': 1909}]",,4073.0
nhsRegion,2020-04-01,London,E40000003,767.0,7651.0,"[{'age': '18_to_64', 'rate': 44.3, 'value': 2594}, {'age': '0_to_5', 'rate': 8.2, 'value': 59}, {'age': '6_to_17', 'rate': 3.7, 'value': 49}, {'age': '85+', 'rate': 537.1, 'value': 819}, {'age': '65_to_84', 'rate': 226.8, 'value': 2145}]",,4219.0
nhsRegion,2020-04-02,London,E40000003,835.0,8486.0,"[{'age': '18_to_64', 'rate': 51.2, 'value': 2997}, {'age': '0_to_5', 'rate': 8.6, 'value': 62}, {'age': '6_to_17', 'rate': 4.0, 'value': 53}, {'age': '85+', 'rate': 604.7, 'value': 922}, {'age': '65_to_84', 'rate': 255.5, 'value': 2417}]",673.0,4168.0
nhsRegion,2020-04-03,London,E40000003,647.0,9133.0,"[{'age': '18_to_64', 'rate': 56.9, 'value': 3330}, {'age': '0_to_5', 'rate': 8.9, 'value': 64}, {'age': '6_to_17', 'rate': 4.1, 'value': 55}, {'age': '85+', 'rate': 647.3, 'value': 987}, {'age': '65_to_84', 'rate': 281.4, 'value': 2662}]",759.0,4092.0
nhsRegion,2020-04-04,London,E40000003,733.0,9866.0,"[{'age': '18_to_64', 'rate': 62.3, 'value': 3649}, {'age': '0_to_5', 'rate': 9.3, 'value': 67}, {'age': '6_to_17', 'rate': 4.2, 'value': 56}, {'age': '85+', 'rate': 724.7, 'value': 1105}, {'age': '65_to_84', 'rate': 312.3, 'value': 2954}]",824.0,4691.0
nhsRegion,2020-04-05,London,E40000003,732.0,10598.0,"[{'age': '18_to_64', 'rate': 67.8, 'value': 3968}, {'age': '0_to_5', 'rate': 10.2, 'value': 73}, {'age': '6_to_17', 'rate': 4.7, 'value': 62}, {'age': '85+', 'rate': 793.5, 'value': 1210}, {'age': '65_to_84', 'rate': 343.6, 'value': 3250}]",800.0,4869.0
nhsRegion,2020-04-06,London,E40000003,743.0,11341.0,"[{'age': '18_to_64', 'rate': 73.4, 'value': 4300}, {'age': '0_to_5', 'rate': 10.9, 'value': 78}, {'age': '6_to_17', 'rate': 5.0, 'value': 67}, {'age': '85+', 'rate': 868.3, 'value': 1324}, {'age': '65_to_84', 'rate': 373.9, 'value': 3537}]",914.0,5058.0
nhsRegion,2020-04-07,London,E40000003,722.0,12063.0,"[{'age': '18_to_64', 'rate': 78.9, 'value': 4623}, {'age': '0_to_5', 'rate': 11.6, 'value': 83}, {'age': '6_to_17', 'rate': 5.9, 'value': 79}, {'age': '85+', 'rate': 941.8, 'value': 1436}, {'age': '65_to_84', 'rate': 402.4, 'value': 3807}]",876.0,5025.0
nhsRegion,2020-04-08,London,E40000003,744.0,12807.0,"[{'age': '18_to_64', 'rate': 84.2, 'value': 4933}, {'age': '0_to_5', 'rate': 11.9, 'value': 85}, {'age': '6_to_17', 'rate': 6.2, 'value': 83}, {'age': '85+', 'rate': 1025.7, 'value': 1564}, {'age': '65_to_84', 'rate': 434.2, 'value': 4107}]",941.0,5198.0
nhsRegion,2020-04-09,London,E40000003,554.0,13361.0,"[{'age': '18_to_64', 'rate': 88.1, 'value': 5158}, {'age': '0_to_5', 'rate': 12.8, 'value': 92}, {'age': '6_to_17', 'rate': 6.5, 'value': 86}, {'age': '85+', 'rate': 1093.3, 'value': 1667}, {'age': '65_to_84', 'rate': 457.0, 'value': 4323}]",849.0,5201.0
nhsRegion,2020-04-10,London,E40000003,531.0,13892.0,"[{'age': '18_to_64', 'rate': 92.4, 'value': 5409}, {'age': '0_to_5', 'rate': 13.5, 'value': 97}, {'age': '6_to_17', 'rate': 6.7, 'value': 89}, {'age': '85+', 'rate': 1156.2, 'value': 1763}, {'age': '65_to_84', 'rate': 475.6, 'value': 4499}]",1057.0,5168.0
nhsRegion,2020-04-11,London,E40000003,490.0,14382.0,"[{'age': '18_to_64', 'rate': 96.0, 'value': 5623}, {'age': '0_to_5', 'rate': 14.0, 'value': 100}, {'age': '6_to_17', 'rate': 6.8, 'value': 91}, {'age': '85+', 'rate': 1214.6, 'value': 1852}, {'age': '65_to_84', 'rate': 494.8, 'value': 4681}]",1035.0,4910.0
nhsRegion,2020-04-12,London,E40000003,384.0,14766.0,"[{'age': '18_to_64', 'rate': 98.6, 'value': 5772}, {'age': '0_to_5', 'rate': 14.5, 'value': 104}, {'age': '6_to_17', 'rate': 6.8, 'value': 91}, {'age': '85+', 'rate': 1260.5, 'value': 1922}, {'age': '65_to_84', 'rate': 511.9, 'value': 4842}]",1035.0,4931.0
nhsRegion,2020-04-13,London,E40000003,416.0,15182.0,"[{'age': '18_to_64', 'rate': 101.6, 'value': 5951}, {'age': '0_to_5', 'rate': 14.8, 'value': 106}, {'age': '6_to_17', 'rate': 6.9, 'value': 92}, {'age': '85+', 'rate': 1307.7, 'value': 1994}, {'age': '65_to_84', 'rate': 529.0, 'value': 5004}]",1046.0,4799.0
nhsRegion,2020-04-14,London,E40000003,447.0,15629.0,"[{'age': '18_to_64', 'rate': 104.7, 'value': 6130}, {'age': '0_to_5', 'rate': 15.6, 'value': 112}, {'age': '6_to_17', 'rate': 7.0, 'value': 93}, {'age': '85+', 'rate': 1351.0, 'value': 2060}, {'age': '65_to_84', 'rate': 549.6, 'value': 5199}]",1026.0,4621.0
nhsRegion,2020-04-15,London,E40000003,412.0,16041.0,"[{'age': '18_to_64', 'rate': 107.6, 'value': 6302}, {'age': '0_to_5', 'rate': 16.6, 'value': 119}, {'age': '6_to_17', 'rate': 7.3, 'value': 97}, {'age': '85+', 'rate': 1397.6, 'value': 2131}, {'age': '65_to_84', 'rate': 566.3, 'value': 5357}]",1023.0,4509.0
nhsRegion,2020-04-16,London,E40000003,388.0,16429.0,"[{'age': '18_to_64', 'rate': 110.4, 'value': 6468}, {'age': '0_to_5', 'rate': 17.3, 'value': 124}, {'age': '6_to_17', 'rate': 7.4, 'value': 98}, {'age': '85+', 'rate': 1446.7, 'value': 2206}, {'age': '65_to_84', 'rate': 581.2, 'value': 5498}]",1012.0,4395.0
nhsRegion,2020-04-17,London,E40000003,358.0,16787.0,"[{'age': '18_to_64', 'rate': 112.8, 'value': 6607}, {'age': '0_to_5', 'rate': 17.7, 'value': 127}, {'age': '6_to_17', 'rate': 7.4, 'value': 99}, {'age': '85+', 'rate': 1486.1, 'value': 2266}, {'age': '65_to_84', 'rate': 597.6, 'value': 5653}]",982.0,4219.0
nhsRegion,2020-04-18,London,E40000003,283.0,17070.0,"[{'age': '18_to_64', 'rate': 114.9, 'value': 6728}, {'age': '0_to_5', 'rate': 18.0, 'value': 129}, {'age': '6_to_17', 'rate': 7.4, 'value': 99}, {'age': '85+', 'rate': 1518.9, 'value': 2316}, {'age': '65_to_84', 'rate': 609.1, 'value': 5762}]",992.0,3993.0
nhsRegion,2020-04-19,London,E40000003,290.0,17360.0,"[{'age': '18_to_64', 'rate': 117.0, 'value': 6854}, {'age': '0_to_5', 'rate': 18.3, 'value': 131}, {'age': '6_to_17', 'rate': 7.6, 'value': 101}, {'age': '85+', 'rate': 1551.0, 'value': 2365}, {'age': '65_to_84', 'rate': 620.8, 'value': 5873}]",991.0,4021.0
nhsRegion,2020-04-20,London,E40000003,308.0,17668.0,"[{'age': '18_to_64', 'rate': 119.3, 'value': 6989}, {'age': '0_to_5', 'rate': 18.6, 'value': 133}, {'age': '6_to_17', 'rate': 7.9, 'value': 105}, {'age': '85+', 'rate': 1589.1, 'value': 2423}, {'age': '65_to_84', 'rate': 632.4, 'value': 5982}]",1019.0,3940.0
nhsRegion,2020-04-21,London,E40000003,288.0,17956.0,"[{'age': '18_to_64', 'rate': 121.4, 'value': 7111}, {'age': '0_to_5', 'rate': 18.8, 'value': 135}, {'age': '6_to_17', 'rate': 8.0, 'value': 107}, {'age': '85+', 'rate': 1624.5, 'value': 2477}, {'age': '65_to_84', 'rate': 643.8, 'value': 6090}]",972.0,3922.0
nhsRegion,2020-04-22,London,E40000003,225.0,18181.0,"[{'age': '18_to_64', 'rate': 122.9, 'value': 7199}, {'age': '0_to_5', 'rate': 19.3, 'value': 138}, {'age': '6_to_17', 'rate': 8.4, 'value': 112}, {'age': '85+', 'rate': 1651.4, 'value': 2518}, {'age': '65_to_84', 'rate': 653.1, 'value': 6178}]",927.0,3768.0
nhsRegion,2020-04-23,London,E40000003,266.0,18447.0,"[{'age': '18_to_64', 'rate': 124.7, 'value': 7305}, {'age': '0_to_5', 'rate': 20.2, 'value': 145}, {'age': '6_to_17', 'rate': 8.4, 'value': 112}, {'age': '85+', 'rate': 1688.7, 'value': 2575}, {'age': '65_to_84', 'rate': 663.2, 'value': 6274}]",897.0,3510.0
nhsRegion,2020-04-24,London,E40000003,171.0,18618.0,"[{'age': '18_to_64', 'rate': 125.8, 'value': 7366}, {'age': '0_to_5', 'rate': 20.8, 'value': 149}, {'age': '6_to_17', 'rate': 8.7, 'value': 116}, {'age': '85+', 'rate': 1713.7, 'value': 2613}, {'age': '65_to_84', 'rate': 670.0, 'value': 6338}]",836.0,3281.0
nhsRegion,2020-04-25,London,E40000003,137.0,18755.0,"[{'age': '18_to_64', 'rate': 126.6, 'value': 7414}, {'age': '0_to_5', 'rate': 21.1, 'value': 151}, {'age': '6_to_17', 'rate': 8.9, 'value': 119}, {'age': '85+', 'rate': 1734.0, 'value': 2644}, {'age': '65_to_84', 'rate': 675.6, 'value': 6391}]",868.0,3198.0
nhsRegion,2020-04-26,London,E40000003,187.0,18942.0,"[{'age': '18_to_64', 'rate': 127.8, 'value': 7484}, {'age': '0_to_5', 'rate': 21.1, 'value': 151}, {'age': '6_to_17', 'rate': 9.2, 'value': 122}, {'age': '85+', 'rate': 1758.9, 'value': 2682}, {'age': '65_to_84', 'rate': 683.6, 'value': 6467}]",831.0,3115.0
nhsRegion,2020-04-27,London,E40000003,261.0,19203.0,"[{'age': '18_to_64', 'rate': 129.6, 'value': 7588}, {'age': '0_to_5', 'rate': 21.3, 'value': 153}, {'age': '6_to_17', 'rate': 9.3, 'value': 124}, {'age': '85+', 'rate': 1790.4, 'value': 2730}, {'age': '65_to_84', 'rate': 694.7, 'value': 6572}]",800.0,3117.0
nhsRegion,2020-04-28,London,E40000003,248.0,19451.0,"[{'age': '18_to_64', 'rate': 131.4, 'value': 7693}, {'age': '0_to_5', 'rate': 22.0, 'value': 158}, {'age': '6_to_17', 'rate': 9.3, 'value': 124}, {'age': '85+', 'rate': 1821.2, 'value': 2777}, {'age': '65_to_84', 'rate': 704.4, 'value': 6663}]",755.0,2794.0
nhsRegion,2020-04-29,London,E40000003,212.0,19663.0,"[{'age': '18_to_64', 'rate': 132.5, 'value': 7762}, {'age': '0_to_5', 'rate': 22.6, 'value': 162}, {'age': '6_to_17', 'rate': 9.8, 'value': 130}, {'age': '85+', 'rate': 1847.5, 'value': 2817}, {'age': '65_to_84', 'rate': 714.2, 'value': 6756}]",733.0,2811.0
nhsRegion,2020-04-30,London,E40000003,183.0,19846.0,"[{'age': '18_to_64', 'rate': 133.7, 'value': 7829}, {'age': '0_to_5', 'rate': 22.9, 'value': 164}, {'age': '6_to_17', 'rate': 10.0, 'value': 133}, {'age': '85+', 'rate': 1876.3, 'value': 2861}, {'age': '65_to_84', 'rate': 721.3, 'value': 6823}]",723.0,2703.0
nhsRegion,2020-05-01,London,E40000003,201.0,20047.0,"[{'age': '18_to_64', 'rate': 135.0, 'value': 7909}, {'age': '0_to_5', 'rate': 23.3, 'value': 167}, {'age': '6_to_17', 'rate': 10.2, 'value': 136}, {'age': '85+', 'rate': 1897.3, 'value': 2893}, {'age': '65_to_84', 'rate': 730.0, 'value': 6906}]",712.0,2596.0
nhsRegion,2020-05-02,London,E40000003,150.0,20197.0,"[{'age': '18_to_64', 'rate': 136.0, 'value': 7964}, {'age': '0_to_5', 'rate': 23.6, 'value': 169}, {'age': '6_to_17', 'rate': 10.5, 'value': 140}, {'age': '85+', 'rate': 1913.0, 'value': 2917}, {'age': '65_to_84', 'rate': 736.7, 'value': 6969}]",678.0,2432.0
nhsRegion,2020-05-03,London,E40000003,157.0,20354.0,"[{'age': '18_to_64', 'rate': 137.0, 'value': 8022}, {'age': '0_to_5', 'rate': 23.9, 'value': 171}, {'age': '6_to_17', 'rate': 10.7, 'value': 142}, {'age': '85+', 'rate': 1934.7, 'value': 2950}, {'age': '65_to_84', 'rate': 742.9, 'value': 7028}]",638.0,2390.0
nhsRegion,2020-05-04,London,E40000003,169.0,20523.0,"[{'age': '18_to_64', 'rate': 138.2, 'value': 8092}, {'age': '0_to_5', 'rate': 24.0, 'value': 172}, {'age': '6_to_17', 'rate': 11.0, 'value': 147}, {'age': '85+', 'rate': 1955.0, 'value': 2981}, {'age': '65_to_84', 'rate': 749.5, 'value': 7090}]",587.0,2328.0
nhsRegion,2020-05-05,London,E40000003,178.0,20701.0,"[{'age': '18_to_64', 'rate': 139.2, 'value': 8155}, {'age': '0_to_5', 'rate': 24.8, 'value': 178}, {'age': '6_to_17', 'rate': 11.2, 'value': 149}, {'age': '85+', 'rate': 1979.9, 'value': 3019}, {'age': '65_to_84', 'rate': 756.8, 'value': 7159}]",565.0,2270.0
nhsRegion,2020-05-06,London,E40000003,216.0,20917.0,"[{'age': '18_to_64', 'rate': 140.9, 'value': 8254}, {'age': '0_to_5', 'rate': 25.1, 'value': 180}, {'age': '6_to_17', 'rate': 11.5, 'value': 153}, {'age': '85+', 'rate': 2007.5, 'value': 3061}, {'age': '65_to_84', 'rate': 764.1, 'value': 7228}]",580.0,2154.0
nhsRegion,2020-05-07,London,E40000003,202.0,21119.0,"[{'age': '18_to_64', 'rate': 142.9, 'value': 8367}, {'age': '0_to_5', 'rate': 25.1, 'value': 180}, {'age': '6_to_17', 'rate': 11.8, 'value': 157}, {'age': '85+', 'rate': 2027.8, 'value': 3092}, {'age': '65_to_84', 'rate': 769.8, 'value': 7282}]",565.0,2086.0
nhsRegion,2020-05-08,London,E40000003,99.0,21218.0,"[{'age': '18_to_64', 'rate': 143.6, 'value': 8408}, {'age': '0_to_5', 'rate': 25.4, 'value': 182}, {'age': '6_to_17', 'rate': 11.9, 'value': 158}, {'age': '85+', 'rate': 2043.5, 'value': 3116}, {'age': '65_to_84', 'rate': 773.1, 'value': 7313}]",531.0,1955.0
nhsRegion,2020-05-09,London,E40000003,85.0,21303.0,"[{'age': '18_to_64', 'rate': 144.0, 'value': 8436}, {'age': '0_to_5', 'rate': 25.5, 'value': 183}, {'age': '6_to_17', 'rate': 11.9, 'value': 158}, {'age': '85+', 'rate': 2058.6, 'value': 3139}, {'age': '65_to_84', 'rate': 776.6, 'value': 7346}]",516.0,1971.0
nhsRegion,2020-05-10,London,E40000003,86.0,21389.0,"[{'age': '18_to_64', 'rate': 144.5, 'value': 8465}, {'age': '0_to_5', 'rate': 25.5, 'value': 183}, {'age': '6_to_17', 'rate': 12.2, 'value': 162}, {'age': '85+', 'rate': 2069.8, 'value': 3156}, {'age': '65_to_84', 'rate': 780.4, 'value': 7382}]",466.0,1889.0
nhsRegion,2020-05-11,London,E40000003,91.0,21480.0,"[{'age': '18_to_64', 'rate': 145.1, 'value': 8498}, {'age': '0_to_5', 'rate': 25.5, 'value': 183}, {'age': '6_to_17', 'rate': 12.3, 'value': 164}, {'age': '85+', 'rate': 2082.9, 'value': 3176}, {'age': '65_to_84', 'rate': 784.2, 'value': 7418}]",457.0,1880.0
nhsRegion,2020-05-12,London,E40000003,80.0,21560.0,"[{'age': '18_to_64', 'rate': 145.5, 'value': 8520}, {'age': '0_to_5', 'rate': 25.7, 'value': 184}, {'age': '6_to_17', 'rate': 12.5, 'value': 166}, {'age': '85+', 'rate': 2097.3, 'value': 3198}, {'age': '65_to_84', 'rate': 787.7, 'value': 7451}]",425.0,1827.0
nhsRegion,2020-05-13,London,E40000003,91.0,21651.0,"[{'age': '18_to_64', 'rate': 146.1, 'value': 8558}, {'age': '0_to_5', 'rate': 25.8, 'value': 185}, {'age': '6_to_17', 'rate': 12.6, 'value': 168}, {'age': '85+', 'rate': 2109.8, 'value': 3217}, {'age': '65_to_84', 'rate': 790.9, 'value': 7482}]",413.0,1777.0
nhsRegion,2020-05-14,London,E40000003,91.0,21742.0,"[{'age': '18_to_64', 'rate': 146.6, 'value': 8588}, {'age': '0_to_5', 'rate': 25.8, 'value': 185}, {'age': '6_to_17', 'rate': 12.9, 'value': 172}, {'age': '85+', 'rate': 2122.2, 'value': 3236}, {'age': '65_to_84', 'rate': 794.9, 'value': 7520}]",395.0,1667.0
nhsRegion,2020-05-15,London,E40000003,77.0,21819.0,"[{'age': '18_to_64', 'rate': 147.1, 'value': 8616}, {'age': '0_to_5', 'rate': 25.8, 'value': 185}, {'age': '6_to_17', 'rate': 13.1, 'value': 174}, {'age': '85+', 'rate': 2134.7, 'value': 3255}, {'age': '65_to_84', 'rate': 797.9, 'value': 7548}]",405.0,1625.0
nhsRegion,2020-05-16,London,E40000003,59.0,21878.0,"[{'age': '18_to_64', 'rate': 147.4, 'value': 8631}, {'age': '0_to_5', 'rate': 25.8, 'value': 185}, {'age': '6_to_17', 'rate': 13.1, 'value': 175}, {'age': '85+', 'rate': 2146.5, 'value': 3273}, {'age': '65_to_84', 'rate': 800.6, 'value': 7573}]",384.0,1552.0
nhsRegion,2020-05-17,London,E40000003,51.0,21929.0,"[{'age': '18_to_64', 'rate': 147.8, 'value': 8654}, {'age': '0_to_5', 'rate': 25.9, 'value': 186}, {'age': '6_to_17', 'rate': 13.2, 'value': 176}, {'age': '85+', 'rate': 2152.4, 'value': 3282}, {'age': '65_to_84', 'rate': 802.3, 'value': 7590}]",374.0,1454.0
nhsRegion,2020-05-18,London,E40000003,74.0,22003.0,"[{'age': '18_to_64', 'rate': 148.4, 'value': 8689}, {'age': '0_to_5', 'rate': 25.9, 'value': 186}, {'age': '6_to_17', 'rate': 13.5, 'value': 179}, {'age': '85+', 'rate': 2160.9, 'value': 3295}, {'age': '65_to_84', 'rate': 804.8, 'value': 7613}]",349.0,1496.0
nhsRegion,2020-05-19,London,E40000003,89.0,22092.0,"[{'age': '18_to_64', 'rate': 149.0, 'value': 8724}, {'age': '0_to_5', 'rate': 26.1, 'value': 187}, {'age': '6_to_17', 'rate': 13.6, 'value': 181}, {'age': '85+', 'rate': 2173.4, 'value': 3314}, {'age': '65_to_84', 'rate': 808.2, 'value': 7645}]",333.0,1390.0
nhsRegion,2020-05-20,London,E40000003,71.0,22163.0,"[{'age': '18_to_64', 'rate': 149.3, 'value': 8745}, {'age': '0_to_5', 'rate': 26.2, 'value': 188}, {'age': '6_to_17', 'rate': 13.7, 'value': 182}, {'age': '85+', 'rate': 2183.9, 'value': 3330}, {'age': '65_to_84', 'rate': 811.5, 'value': 7677}]",313.0,1247.0
nhsRegion,2020-05-21,London,E40000003,76.0,22239.0,"[{'age': '18_to_64', 'rate': 149.9, 'value': 8776}, {'age': '0_to_5', 'rate': 26.4, 'value': 189}, {'age': '6_to_17', 'rate': 13.7, 'value': 182}, {'age': '85+', 'rate': 2199.6, 'value': 3354}, {'age': '65_to_84', 'rate': 813.7, 'value': 7697}]",307.0,1224.0
nhsRegion,2020-05-22,London,E40000003,77.0,22316.0,"[{'age': '18_to_64', 'rate': 150.3, 'value': 8803}, {'age': '0_to_5', 'rate': 26.5, 'value': 190}, {'age': '6_to_17', 'rate': 13.7, 'value': 182}, {'age': '85+', 'rate': 2209.5, 'value': 3369}, {'age': '65_to_84', 'rate': 817.3, 'value': 7731}]",287.0,1240.0
nhsRegion,2020-05-23,London,E40000003,43.0,22359.0,"[{'age': '18_to_64', 'rate': 150.6, 'value': 8821}, {'age': '0_to_5', 'rate': 26.5, 'value': 190}, {'age': '6_to_17', 'rate': 13.7, 'value': 182}, {'age': '85+', 'rate': 2214.7, 'value': 3377}, {'age': '65_to_84', 'rate': 819.1, 'value': 7748}]",272.0,1165.0
nhsRegion,2020-05-24,London,E40000003,41.0,22400.0,"[{'age': '18_to_64', 'rate': 150.9, 'value': 8838}, {'age': '0_to_5', 'rate': 26.6, 'value': 191}, {'age': '6_to_17', 'rate': 13.8, 'value': 183}, {'age': '85+', 'rate': 2219.3, 'value': 3384}, {'age': '65_to_84', 'rate': 820.6, 'value': 7763}]",271.0,1160.0
nhsRegion,2020-05-25,London,E40000003,49.0,22449.0,"[{'age': '18_to_64', 'rate': 151.2, 'value': 8856}, {'age': '0_to_5', 'rate': 26.8, 'value': 192}, {'age': '6_to_17', 'rate': 13.8, 'value': 184}, {'age': '85+', 'rate': 2224.6, 'value': 3392}, {'age': '65_to_84', 'rate': 822.9, 'value': 7784}]",276.0,1174.0
nhsRegion,2020-05-26,London,E40000003,67.0,22516.0,"[{'age': '18_to_64', 'rate': 151.7, 'value': 8886}, {'age': '0_to_5', 'rate': 26.9, 'value': 193}, {'age': '6_to_17', 'rate': 13.9, 'value': 185}, {'age': '85+', 'rate': 2233.1, 'value': 3405}, {'age': '65_to_84', 'rate': 825.2, 'value': 7806}]",268.0,1144.0
nhsRegion,2020-05-27,London,E40000003,69.0,22585.0,"[{'age': '18_to_64', 'rate': 152.2, 'value': 8914}, {'age': '0_to_5', 'rate': 27.1, 'value': 194}, {'age': '6_to_17', 'rate': 14.0, 'value': 186}, {'age': '85+', 'rate': 2240.9, 'value': 3417}, {'age': '65_to_84', 'rate': 828.0, 'value': 7833}]",228.0,1091.0
nhsRegion,2020-05-28,London,E40000003,57.0,22642.0,"[{'age': '18_to_64', 'rate': 152.6, 'value': 8937}, {'age': '0_to_5', 'rate': 27.1, 'value': 194}, {'age': '6_to_17', 'rate': 14.3, 'value': 190}, {'age': '85+', 'rate': 2245.5, 'value': 3424}, {'age': '65_to_84', 'rate': 830.5, 'value': 7856}]",222.0,1029.0
nhsRegion,2020-05-29,London,E40000003,51.0,22693.0,"[{'age': '18_to_64', 'rate': 153.0, 'value': 8962}, {'age': '0_to_5', 'rate': 27.1, 'value': 194}, {'age': '6_to_17', 'rate': 14.4, 'value': 191}, {'age': '85+', 'rate': 2247.5, 'value': 3427}, {'age': '65_to_84', 'rate': 832.8, 'value': 7878}]",207.0,1002.0
nhsRegion,2020-05-30,London,E40000003,30.0,22723.0,"[{'age': '18_to_64', 'rate': 153.2, 'value': 8970}, {'age': '0_to_5', 'rate': 27.1, 'value': 194}, {'age': '6_to_17', 'rate': 14.4, 'value': 191}, {'age': '85+', 'rate': 2253.4, 'value': 3436}, {'age': '65_to_84', 'rate': 834.2, 'value': 7891}]",213.0,915.0
nhsRegion,2020-05-31,London,E40000003,42.0,22765.0,"[{'age': '18_to_64', 'rate': 153.5, 'value': 8987}, {'age': '0_to_5', 'rate': 27.1, 'value': 194}, {'age': '6_to_17', 'rate': 14.4, 'value': 191}, {'age': '85+', 'rate': 2259.3, 'value': 3445}, {'age': '65_to_84', 'rate': 835.9, 'value': 7907}]",197.0,891.0
